Date,Frequency,Retweets,Favorites
5/10/20,1,2,1
5/11/20,2,16,30
5/12/20,4,49,104
5/13/20,3,11,35
5/14/20,6,40,70
5/15/20,2,24,44
5/16/20,4,144,276
5/18/20,2,5,13
5/19/20,3,28,58
5/20/20,4,40,75
5/21/20,3,19,31
5/22/20,3,12,28
5/23/20,2,19,42
5/24/20,2,14,42
5/25/20,3,23,20
5/26/20,1,11,21
5/27/20,4,93,130
5/28/20,1,9,15
5/29/20,4,167,367
5/30/20,1,4,20
5/31/20,1,31,19
6/1/20,2,19,25
6/2/20,1,3,6
6/3/20,1,3,7
6/4/20,5,43,96
6/5/20,3,43,76
6/6/20,1,9,26
6/7/20,1,1,6
6/8/20,5,37,90